,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,goals_home,goals_away
44,2022-2023,24,10.03.2023 18:00,Lechia Gdańsk,Miedź Legnica,53%,47%,13,15,5,2,6,10,2,3,15,9,4,4,1,4,30,18,2,1,9,12,,,1,4,436,372,342,267,9,12,81,82,44,60,4,0
45,2022-2023,19,08.03.2023 18:45,Wisła Płock,Warta Poznań,53%,47%,17,14,3,4,8,9,6,1,5,16,6,8,0,0,22,23,4,2,16,5,0,1,1,4,428,373,313,256,15,9,69,89,39,76,1,0
46,2022-2023,23,06.03.2023 19:00,Radomiak Radom,Zagłębie Lubin,49%,51%,16,13,4,7,7,5,5,1,21,15,8,2,2,3,27,12,6,4,14,19,,,3,3,338,382,247,286,17,17,111,102,73,47,0,1
47,2022-2023,23,05.03.2023 17:30,Cracovia,Śląsk Wrocław,57%,43%,13,8,3,4,7,2,3,2,12,17,5,2,4,0,20,13,3,2,13,12,,,1,5,431,343,343,251,18,9,87,91,76,58,1,1
48,2022-2023,23,05.03.2023 15:00,Pogoń Szczecin,Raków Częstochowa,62%,38%,10,4,2,2,6,1,2,1,14,11,7,7,1,3,24,21,0,2,10,12,,,1,2,564,342,433,241,22,23,77,68,64,63,0,2
49,2022-2023,23,05.03.2023 12:30,Miedź Legnica,Jagiellonia Białystok,39%,61%,18,18,5,4,9,9,4,5,11,20,5,7,2,1,27,21,3,4,19,8,,,3,4,299,480,219,375,22,22,103,102,61,56,1,1
50,2022-2023,23,04.03.2023 20:00,Górnik Zabrze,Legia Warszawa,55%,45%,15,5,5,2,6,2,4,1,12,20,8,3,3,2,28,19,1,5,19,11,0,1,3,5,432,365,347,279,13,12,116,97,78,33,0,1
51,2022-2023,23,04.03.2023 17:30,Korona Kielce,Wisła Płock,38%,62%,19,11,6,3,6,4,7,4,9,13,8,3,2,1,24,23,3,5,12,7,,,2,1,334,583,256,497,11,14,98,112,103,86,1,0
52,2022-2023,23,04.03.2023 15:00,Widzew Łódź,Warta Poznań,64%,36%,13,9,0,3,11,6,2,0,11,10,5,6,1,1,24,26,1,0,11,9,,,1,2,548,305,446,205,10,8,114,93,73,66,0,2
53,2022-2023,23,03.03.2023 20:30,Lech Poznań,Lechia Gdańsk,58%,42%,20,8,7,2,9,4,4,2,12,13,8,2,1,3,11,18,2,2,14,8,,,3,1,509,355,438,282,15,8,69,80,58,42,5,0
54,2022-2023,23,03.03.2023 18:00,Stal Mielec,Piast Gliwice,56%,44%,12,14,0,5,7,8,5,1,11,15,3,2,2,2,19,32,3,0,13,13,,,4,2,427,342,332,258,16,15,90,111,70,53,0,2
55,2022-2023,22,27.02.2023 19:00,Zagłębie Lubin,Miedź Legnica,51%,49%,15,7,6,2,7,4,2,1,10,10,3,3,0,2,20,19,1,4,12,10,,,1,1,466,440,381,336,11,20,110,103,79,69,2,1
56,2022-2023,22,26.02.2023 17:30,Śląsk Wrocław,Lech Poznań,31%,69%,8,18,3,5,3,7,2,6,13,11,3,7,0,2,12,16,4,1,11,11,1,1,4,1,287,621,216,564,13,13,90,145,32,102,2,1
57,2022-2023,22,26.02.2023 15:00,Wisła Płock,Pogoń Szczecin,46%,54%,10,24,3,8,4,6,3,10,11,16,6,9,5,1,22,22,7,3,11,12,,,1,0,359,423,252,320,14,15,85,123,49,77,0,1
58,2022-2023,22,26.02.2023 12:30,Stal Mielec,Górnik Zabrze,50%,50%,12,14,6,1,2,11,4,2,26,13,6,8,0,6,25,20,0,6,12,23,,,2,6,348,350,255,277,15,19,87,90,63,62,0,1
59,2022-2023,22,25.02.2023 20:00,Lechia Gdańsk,Radomiak Radom,59%,41%,9,18,3,8,5,6,1,4,10,14,6,6,4,1,23,16,5,2,13,8,,,2,2,512,347,414,262,18,28,93,90,69,68,1,3
60,2022-2023,22,25.02.2023 17:30,Warta Poznań,Korona Kielce,48%,52%,10,9,7,3,2,4,1,2,13,11,4,6,1,0,12,20,2,2,11,13,,,1,0,444,460,342,366,9,13,103,111,39,63,5,1
61,2022-2023,22,25.02.2023 15:00,Piast Gliwice,Cracovia,50%,50%,16,8,4,3,8,3,4,2,20,17,4,4,1,2,19,21,2,2,14,20,,,1,4,413,409,310,297,7,17,99,84,76,63,2,1
62,2022-2023,22,24.02.2023 20:30,Legia Warszawa,Widzew Łódź,59%,41%,17,13,6,5,8,5,3,3,16,11,8,5,1,3,15,17,3,4,11,13,,,3,2,503,355,430,274,18,14,107,80,72,53,2,2
63,2022-2023,22,24.02.2023 18:00,Jagiellonia Białystok,Raków Częstochowa,47%,53%,10,21,5,7,3,8,2,6,17,12,2,12,2,1,16,21,5,4,9,15,,,1,2,399,427,295,348,16,20,102,121,53,101,1,2
64,2022-2023,21,20.02.2023 19:00,Radomiak Radom,Jagiellonia Białystok,48%,52%,15,9,4,2,7,3,4,4,20,16,4,3,0,5,36,24,2,4,16,15,,,2,2,333,382,236,279,23,18,128,95,74,51,0,0
65,2022-2023,21,19.02.2023 17:30,Piast Gliwice,Legia Warszawa,40%,60%,8,7,0,2,7,5,1,0,16,18,2,2,6,5,18,17,1,0,15,10,0,1,5,4,318,486,243,402,15,9,87,86,62,67,0,1
66,2022-2023,21,19.02.2023 15:00,Lech Poznań,Zagłębie Lubin,70%,30%,20,8,5,3,9,4,6,1,13,17,7,1,5,1,24,16,1,4,13,11,,,3,4,603,268,530,178,23,28,121,74,87,32,1,2
67,2022-2023,21,19.02.2023 12:30,Miedź Legnica,Wisła Płock,39%,61%,18,14,6,5,7,6,5,3,10,21,7,2,2,2,24,12,4,4,18,9,,,5,1,348,555,265,459,17,24,88,103,77,73,2,1
68,2022-2023,21,18.02.2023 20:00,Pogoń Szczecin,Warta Poznań,52%,48%,19,13,8,3,6,3,5,7,11,13,8,4,1,3,15,19,2,5,13,10,,,2,1,448,407,364,318,17,20,61,53,63,56,3,1
69,2022-2023,21,18.02.2023 17:30,Raków Częstochowa,Górnik Zabrze,53%,47%,23,6,8,0,8,2,7,4,13,12,9,2,1,3,24,17,0,6,10,14,,,4,3,433,383,331,264,7,24,119,74,95,39,2,0
70,2022-2023,21,18.02.2023 15:00,Korona Kielce,Lechia Gdańsk,37%,63%,21,13,8,3,9,6,4,4,10,11,9,5,2,2,19,18,3,7,10,9,1,0,4,1,288,502,214,433,17,19,89,108,72,84,1,0
71,2022-2023,21,17.02.2023 20:30,Widzew Łódź,Śląsk Wrocław,60%,40%,11,10,3,2,5,4,3,4,9,11,3,5,3,1,33,24,2,2,8,8,,,1,2,473,320,289,179,11,14,114,101,63,54,1,0
72,2022-2023,21,17.02.2023 18:00,Cracovia,Stal Mielec,50%,50%,16,9,6,2,6,3,4,4,8,13,5,5,1,2,16,14,1,4,13,7,,,2,2,437,453,352,348,13,17,93,91,92,63,2,1
73,2022-2023,20,13.02.2023 19:00,Warta Poznań,Miedź Legnica,54%,46%,18,11,7,4,6,6,5,1,15,12,8,1,2,2,18,20,3,6,10,13,,,1,2,420,356,321,251,13,9,158,147,97,69,1,1
74,2022-2023,20,12.02.2023 17:30,Legia Warszawa,Cracovia,76%,24%,22,13,7,4,9,5,6,4,15,7,10,3,1,1,19,8,2,5,6,18,,,1,1,638,207,550,117,8,13,134,67,99,28,2,2
75,2022-2023,20,12.02.2023 15:00,Górnik Zabrze,Radomiak Radom,65%,35%,16,18,6,6,7,6,3,6,13,13,7,2,0,2,16,17,6,6,13,11,,,1,1,600,314,494,217,16,18,113,85,86,52,0,0
76,2022-2023,20,12.02.2023 12:30,Zagłębie Lubin,Piast Gliwice,63%,37%,7,13,2,3,2,8,3,2,16,14,6,4,0,3,30,20,1,2,13,14,,,3,0,566,334,480,243,14,19,109,92,77,76,0,2
77,2022-2023,20,11.02.2023 20:00,Jagiellonia Białystok,Pogoń Szczecin,35%,65%,7,20,4,7,0,5,3,8,13,22,4,4,6,1,22,23,7,2,14,12,,,3,2,312,613,206,503,22,19,118,136,60,93,2,0
78,2022-2023,20,11.02.2023 17:30,Wisła Płock,Lech Poznań,49%,51%,10,13,5,7,4,3,1,3,18,9,5,3,1,3,17,21,6,5,11,14,1,0,3,4,397,428,306,339,19,18,93,107,60,71,0,1
79,2022-2023,20,11.02.2023 15:00,Śląsk Wrocław,Korona Kielce,42%,58%,7,14,3,5,2,5,2,4,15,7,5,4,0,4,20,21,4,2,8,14,,,2,3,313,439,224,353,24,24,98,102,69,66,1,1
80,2022-2023,20,10.02.2023 20:30,Lechia Gdańsk,Widzew Łódź,43%,57%,13,22,2,4,7,14,4,4,11,10,3,8,1,2,29,22,4,2,8,11,,,1,0,386,500,307,434,18,11,79,83,48,80,0,0
81,2022-2023,20,10.02.2023 18:00,Stal Mielec,Raków Częstochowa,41%,59%,2,15,1,3,0,6,1,6,21,13,2,9,0,4,20,23,3,1,15,17,,,2,2,365,501,250,421,19,19,79,90,35,80,0,0
82,2022-2023,19,06.02.2023 19:00,Korona Kielce,Cracovia,45%,55%,17,12,6,2,6,5,5,5,8,16,8,4,2,1,22,20,1,4,17,10,,,4,3,323,414,213,306,12,16,99,83,68,41,2,1
83,2022-2023,19,05.02.2023 17:30,Pogoń Szczecin,Śląsk Wrocław,73%,27%,21,8,6,4,9,3,6,1,11,13,9,1,5,4,20,11,2,6,12,9,,,1,1,695,258,606,164,8,18,86,58,105,33,0,2
84,2022-2023,19,05.02.2023 15:00,Lech Poznań,Miedź Legnica,61%,39%,18,12,3,3,8,6,7,3,15,15,4,2,4,3,14,20,3,2,11,12,,,1,2,576,363,484,274,20,15,88,84,70,47,1,0
85,2022-2023,19,05.02.2023 12:30,Radomiak Radom,Stal Mielec,34%,66%,13,11,5,1,7,6,1,4,17,19,4,4,1,2,15,26,1,4,20,16,,,4,4,268,525,163,422,18,11,76,114,58,94,1,0
86,2022-2023,19,04.02.2023 20:00,Zagłębie Lubin,Legia Warszawa,39%,61%,11,14,4,4,4,5,3,5,10,14,5,3,1,3,14,20,2,3,14,7,,,2,0,382,610,296,517,11,16,86,118,68,89,1,2
