,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
62,2014-2015,30,29.04.2015 20:30,Podbeskidzie B-B,Lech Poznań,47%,53%,10,16,3,6,4,5,3,5,23,20,4,7,4,0,27,22,4,3,16,24,2,3,,,0,2
63,2014-2015,30,29.04.2015 20:30,Śląsk Wrocław,Wisła Kraków,51%,49%,7,9,3,0,2,8,2,1,20,16,1,0,1,0,23,28,0,2,16,17,1,3,,,1,0
64,2014-2015,29,26.04.2015 18:00,Wisła Kraków,Korona Kielce,60%,40%,11,15,5,5,4,8,2,2,15,21,5,10,1,0,26,32,5,3,18,15,2,1,,,2,0
65,2014-2015,29,26.04.2015 15:30,Lechia Gdańsk,Górnik Łęczna,58%,42%,19,2,8,0,7,0,4,2,21,10,7,2,0,3,32,23,0,6,10,16,3,3,,,2,0
66,2014-2015,29,26.04.2015 13:00,Piast Gliwice,Podbeskidzie B-B,50%,50%,11,16,5,3,4,10,2,3,18,15,7,6,1,3,33,27,3,2,15,15,2,5,0,1,3,0
67,2014-2015,29,25.04.2015 20:30,Lech Poznań,Śląsk Wrocław,57%,43%,16,8,8,1,7,3,1,4,12,12,3,7,0,0,24,36,1,6,12,10,,,,,2,0
68,2014-2015,29,25.04.2015 18:00,GKS Bełchatów,Jagiellonia Białystok,49%,51%,8,9,4,3,2,5,2,1,13,14,4,9,1,0,28,33,3,4,13,13,0,2,,,0,0
69,2014-2015,29,25.04.2015 15:30,Pogoń Szczecin,Górnik Zabrze,44%,56%,15,11,4,1,7,7,4,3,15,15,2,3,1,0,38,29,0,1,14,15,3,3,0,1,3,1
70,2014-2015,29,24.04.2015 20:30,Ruch Chorzów,Legia Warszawa,36%,64%,10,21,1,5,7,9,2,7,12,13,4,12,1,0,16,12,5,1,14,11,4,2,,,0,0
71,2014-2015,29,24.04.2015 18:00,Zawisza Bydgoszcz,Cracovia,53%,47%,19,12,3,7,6,3,10,2,24,14,8,9,1,1,31,28,4,3,13,23,0,5,,,0,3
