,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Podania celne_home,Podania celne_away,Czerwone kartki_home,Czerwone kartki_away,Strzały zablokowane_home,Strzały zablokowane_away,goals_home,goals_away
69,2020-2021,22,20.03.2021 15:00,Śląsk Wrocław,Wisła Płock,49%,51%,16,12,5,4,11,8,9,5,1,1,4,5,23,9,3,0,92,91,81,74,367,383,,,,,0,0
70,2020-2021,22,19.03.2021 20:30,Pogoń Szczecin,Lechia Gdańsk,53%,47%,18,11,7,4,11,7,5,3,1,0,4,6,6,13,1,4,99,97,76,62,470,369,,,,,1,0
71,2020-2021,22,19.03.2021 18:00,Piast Gliwice,Cracovia,47%,53%,12,10,6,4,6,6,2,6,1,2,4,4,17,18,3,1,107,104,65,90,360,419,,,,,2,0
72,2020-2021,21,15.03.2021 18:00,Stal Mielec,Podbeskidzie B-B,55%,45%,18,13,5,6,13,7,5,2,3,1,5,3,16,17,2,2,84,100,86,67,310,244,1,0,,,2,1
73,2020-2021,21,14.03.2021 17:30,Lech Poznań,Piast Gliwice,60%,40%,13,11,7,5,6,6,7,6,1,0,5,7,8,8,1,1,76,59,70,46,511,307,,,,,0,0
74,2020-2021,21,14.03.2021 15:00,Górnik Zabrze,Zagłębie Lubin,43%,57%,17,18,9,8,8,10,0,4,0,2,8,7,13,14,1,0,116,115,67,81,306,415,,,,,2,0
75,2020-2021,21,13.03.2021 20:00,Legia Warszawa,Warta Poznań,56%,44%,15,9,8,5,7,4,4,3,3,0,3,5,15,16,2,2,124,105,77,64,426,336,,,,,3,2
76,2020-2021,21,13.03.2021 17:30,Lechia Gdańsk,Wisła Kraków,46%,54%,15,16,7,4,8,12,5,7,2,2,4,5,19,14,1,3,117,96,79,84,234,304,,,,,2,0
77,2020-2021,21,13.03.2021 15:00,Wisła Płock,Raków Częstochowa,48%,52%,6,14,3,4,3,10,2,9,0,1,2,2,21,17,3,1,73,88,31,69,335,343,,,,,2,2
78,2020-2021,21,12.03.2021 20:30,Jagiellonia Białystok,Pogoń Szczecin,45%,55%,6,8,2,3,4,5,1,7,1,2,2,2,18,12,5,5,104,120,78,72,265,366,2,1,,,0,1
79,2020-2021,21,12.03.2021 18:00,Cracovia,Śląsk Wrocław,37%,63%,12,10,6,7,6,3,3,5,3,2,6,5,13,14,3,1,84,107,70,87,267,430,,,,,1,1
80,2020-2021,20,08.03.2021 18:00,Warta Poznań,Wisła Płock,50%,50%,9,10,5,2,4,8,4,4,1,1,2,3,18,12,1,1,88,101,41,57,276,394,,,,,2,0
81,2020-2021,20,07.03.2021 17:30,Śląsk Wrocław,Legia Warszawa,46%,54%,11,11,4,2,7,9,2,4,0,2,1,4,17,12,3,2,85,100,61,73,378,434,,,,,0,1
82,2020-2021,20,07.03.2021 15:00,Pogoń Szczecin,Lech Poznań,57%,43%,15,12,4,4,11,8,8,3,1,1,3,4,13,16,2,1,97,69,91,47,456,357,,,,,0,1
83,2020-2021,20,07.03.2021 12:30,Piast Gliwice,Stal Mielec,58%,42%,14,15,4,8,10,7,4,2,2,3,7,2,9,19,0,2,130,90,94,64,402,285,,,,,2,1
84,2020-2021,20,06.03.2021 20:00,Raków Częstochowa,Cracovia,47%,53%,6,10,1,2,5,8,4,1,2,0,2,1,16,18,3,2,91,101,57,47,303,351,1,0,,,0,0
85,2020-2021,20,06.03.2021 17:30,Zagłębie Lubin,Jagiellonia Białystok,51%,49%,25,9,7,2,18,7,10,1,2,0,2,4,16,12,4,3,105,114,95,60,333,374,,,,,3,0
86,2020-2021,20,06.03.2021 15:00,Podbeskidzie B-B,Lechia Gdańsk,53%,47%,9,15,4,7,5,8,2,4,0,2,5,2,14,13,1,2,111,127,81,90,328,312,,,,,2,2
87,2020-2021,20,05.03.2021 20:30,Wisła Kraków,Górnik Zabrze,51%,49%,15,13,3,4,12,9,9,10,5,0,4,3,22,20,3,1,103,108,80,79,302,295,,,,,0,0
88,2020-2021,16,04.03.2021 20:30,Stal Mielec,Wisła Płock,66%,34%,16,5,8,4,8,1,10,2,3,1,2,6,12,12,1,1,125,77,114,64,439,192,,,,,2,2
89,2020-2021,19,28.02.2021 17:30,Śląsk Wrocław,Pogoń Szczecin,37%,63%,9,18,3,6,6,12,7,11,2,2,5,1,15,10,1,1,90,140,62,95,252,508,,,,,2,1
90,2020-2021,19,28.02.2021 15:00,Cracovia,Zagłębie Lubin,50%,50%,12,20,3,11,9,9,3,8,3,4,7,2,17,15,5,4,111,92,69,82,351,393,2,0,,,2,4
91,2020-2021,19,28.02.2021 12:30,Wisła Płock,Wisła Kraków,51%,49%,9,10,3,7,6,3,2,2,1,0,4,2,25,11,1,2,122,109,57,42,216,282,,,,,1,3
92,2020-2021,19,27.02.2021 20:00,Górnik Zabrze,Legia Warszawa,44%,56%,14,13,5,4,9,9,7,7,1,2,2,4,22,12,4,3,104,99,61,67,326,394,,,,,1,2
93,2020-2021,19,27.02.2021 17:30,Jagiellonia Białystok,Piast Gliwice,46%,54%,7,19,2,6,5,13,3,5,2,3,5,2,15,10,4,2,95,145,60,108,356,449,1,0,,,0,1
94,2020-2021,19,27.02.2021 15:00,Stal Mielec,Lechia Gdańsk,61%,39%,28,9,10,2,18,7,15,2,2,1,1,10,13,14,1,2,114,92,110,52,397,212,,,,,0,1
95,2020-2021,19,26.02.2021 20:30,Warta Poznań,Lech Poznań,36%,64%,9,16,2,6,7,10,5,11,0,1,4,1,7,16,0,2,76,108,55,107,228,506,,,,,1,2
96,2020-2021,19,26.02.2021 18:00,Raków Częstochowa,Podbeskidzie B-B,50%,50%,11,11,4,1,7,10,1,3,5,2,1,3,15,9,1,0,144,139,89,69,271,236,,,,,1,0
97,2020-2021,18,22.02.2021 18:00,Piast Gliwice,Warta Poznań,63%,37%,20,4,7,1,13,3,5,3,2,1,0,7,10,21,1,2,139,85,120,54,500,205,,,,,0,1
98,2020-2021,18,21.02.2021 17:30,Lech Poznań,Śląsk Wrocław,61%,39%,15,7,3,1,12,6,8,2,0,4,1,2,10,8,1,4,102,83,72,44,543,276,,,,,1,0
99,2020-2021,18,21.02.2021 15:00,Zagłębie Lubin,Raków Częstochowa,56%,44%,12,13,2,4,10,9,5,6,1,0,2,1,8,21,2,2,105,101,69,88,366,274,,,,,1,2
100,2020-2021,18,20.02.2021 20:00,Lechia Gdańsk,Górnik Zabrze,44%,56%,12,17,4,5,8,12,4,5,2,2,5,2,14,17,2,0,93,106,66,66,266,420,,,,,2,0
101,2020-2021,18,20.02.2021 17:30,Podbeskidzie B-B,Jagiellonia Białystok,46%,54%,20,12,6,5,14,7,9,2,2,3,4,5,17,14,1,3,97,107,87,67,283,426,,,,,1,1
102,2020-2021,18,20.02.2021 15:00,Legia Warszawa,Wisła Płock,54%,46%,17,6,11,4,6,2,2,5,1,3,2,6,21,16,1,3,76,67,58,41,405,343,,,,,5,2
103,2020-2021,18,19.02.2021 20:30,Wisła Kraków,Pogoń Szczecin,39%,61%,11,18,7,6,4,12,5,6,2,4,5,5,11,15,3,5,87,92,71,81,232,421,,,,,2,1
104,2020-2021,18,19.02.2021 18:00,Stal Mielec,Cracovia,51%,49%,8,8,3,4,5,4,4,4,0,1,4,3,13,17,5,2,88,89,56,67,325,298,,,,,0,0
105,2020-2021,17,15.02.2021 20:30,Górnik Zabrze,Stal Mielec,71%,29%,22,8,6,2,16,6,10,4,1,2,1,4,12,11,4,2,179,79,118,51,531,186,,,,,2,1
106,2020-2021,17,15.02.2021 18:00,Warta Poznań,Zagłębie Lubin,42%,58%,13,10,4,1,9,9,5,11,0,0,1,3,10,19,1,0,102,121,71,89,248,373,,,,,1,0
107,2020-2021,17,14.02.2021 17:30,Jagiellonia Białystok,Legia Warszawa,35%,65%,5,17,3,5,2,12,1,7,2,1,4,2,17,12,4,3,29,37,11,35,280,494,,,,,1,1
108,2020-2021,17,14.02.2021 15:00,Wisła Płock,Lech Poznań,51%,49%,10,10,4,1,6,9,5,4,1,0,1,3,19,17,1,2,101,87,54,54,342,334,,,,,1,0
109,2020-2021,17,13.02.2021 20:00,Raków Częstochowa,Lechia Gdańsk,56%,44%,15,11,9,3,6,8,6,2,1,2,2,9,15,16,5,3,107,97,89,51,369,263,,,,,0,1
