,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
107,2012-2013,30,2013-02-06 16:00:00,Legia Warszawa,Śląsk Wrocław,49,51,13,8,8,2,5,6,2,5,2,0,2,3,6,5,1,2,0,0,5,0,W
108,2012-2013,30,2013-02-06 16:00:00,Piast Gliwice,GKS Bełchatów,50,50,7,10,4,7,3,3,6,7,0,1,4,2,18,19,4,4,1,0,2,3,L
109,2012-2013,30,2013-02-06 16:00:00,Pogoń Szczecin,Polonia Warszawa,66,34,17,11,9,6,8,5,11,5,2,1,5,6,2,2,4,2,0,0,3,1,W
110,2012-2013,30,2013-02-06 16:00:00,Widzew Łódź,Podbeskidzie B-B,51,49,9,9,3,6,6,3,1,4,2,2,4,2,5,2,2,4,0,0,1,2,L
111,2012-2013,30,2013-02-06 16:00:00,Wisła Kraków,Zagłębie Lubin,56,44,12,14,4,7,8,7,5,3,1,2,6,4,6,10,2,1,0,0,0,1,L
112,2013-2014,1,2013-07-19 18:00:00,Zagłębie Lubin,Pogoń Szczecin,57,43,10,10,1,5,9,5,1,4,1,3,3,1,17,21,1,0,0,0,0,2,L
113,2013-2014,1,2013-07-19 20:30:00,Wisła Kraków,Górnik Zabrze,52,50,13,8,2,2,8,4,6,7,0,3,2,2,9,12,1,0,0,0,0,0,D
114,2013-2014,1,2013-07-20 15:30:00,Zawisza Bydgoszcz,Jagiellonia Białystok,51,49,11,16,3,4,6,6,0,4,2,1,3,3,12,13,4,2,1,0,0,1,L
115,2013-2014,1,2013-07-20 18:00:00,Legia Warszawa,Widzew Łódź,59,41,15,8,7,5,8,3,8,5,6,1,4,2,18,11,1,3,0,0,5,1,W
116,2013-2014,1,2013-07-21 15:30:00,Korona Kielce,Śląsk Wrocław,43,57,11,14,4,3,3,5,4,2,1,0,3,4,15,9,1,2,0,0,0,0,D
117,2013-2014,1,2013-07-21 18:00:00,Cracovia,Piast Gliwice,59,41,15,13,8,6,7,7,8,5,2,1,3,6,14,17,4,0,0,0,2,3,L
118,2013-2014,1,2013-07-21 20:30:00,Ruch Chorzów,Lech Poznań,44,56,7,6,2,2,5,4,7,8,1,1,1,2,12,15,1,2,0,1,1,1,D
