,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
98,2017-2018,25,28.02.2018 18:00,Górnik Zabrze,Pogoń Szczecin,44%,56%,10,30,2,8,8,22,1,10,1,2,8,2,20,17,2,4,126,108,70,91,,,,,,,0,0
99,2017-2018,25,28.02.2018 18:00,Wisła Kraków,Korona Kielce,64%,36%,16,8,6,3,10,5,9,2,3,6,2,5,21,19,2,3,155,128,80,39,0,1,,,,,1,1
100,2017-2018,25,27.02.2018 20:30,Legia Warszawa,Jagiellonia Białystok,35%,65%,6,23,1,11,5,12,5,6,2,6,9,1,11,11,2,0,84,125,45,94,2,0,,,,,0,2
101,2017-2018,25,27.02.2018 20:30,Sandecja Nowy Sącz,Zagłębie Lubin,53%,47%,11,8,6,5,5,3,2,6,1,2,4,6,21,20,3,1,113,105,54,61,1,0,,,,,0,1
102,2017-2018,25,27.02.2018 18:00,Lechia Gdańsk,Bruk-Bet T.,58%,42%,10,12,5,4,5,8,6,6,4,2,2,3,9,16,1,2,122,83,74,64,,,,,,,2,2
103,2017-2018,25,27.02.2018 18:00,Wisła Płock,Cracovia,54%,46%,13,7,2,2,11,5,6,1,1,6,1,2,24,15,3,3,123,121,68,58,,,,,,,0,1
104,2017-2018,24,25.02.2018 18:00,Korona Kielce,Lech Poznań,43%,57%,10,5,4,3,6,2,9,4,0,0,3,4,29,15,2,1,84,117,70,85,,,,,,,1,0
105,2017-2018,24,25.02.2018 15:30,Piast Gliwice,Wisła Kraków,42%,58%,6,5,5,1,1,4,3,2,7,1,1,5,13,18,0,1,102,108,54,49,0,1,,,,,0,0
106,2017-2018,24,25.02.2018 15:30,Śląsk Wrocław,Górnik Zabrze,52%,48%,3,14,1,9,2,5,0,11,4,1,8,0,17,21,4,0,98,114,35,99,,,,,,,1,1
107,2017-2018,24,24.02.2018 20:30,Cracovia,Legia Warszawa,43%,57%,12,7,3,2,9,5,4,3,0,0,2,3,15,18,1,3,108,102,66,63,,,,,,,0,0
108,2017-2018,24,24.02.2018 18:00,Pogoń Szczecin,Wisła Płock,53%,47%,10,6,3,1,7,5,2,6,2,0,1,1,19,22,3,3,117,121,44,53,,,,,,,2,1
109,2017-2018,24,24.02.2018 15:30,Bruk-Bet T.,Sandecja Nowy Sącz,55%,45%,4,5,4,5,0,0,5,4,2,5,5,3,14,11,0,1,128,105,93,50,,,,,,,1,0
110,2017-2018,24,23.02.2018 20:30,Jagiellonia Białystok,Lechia Gdańsk,51%,49%,18,5,7,2,11,3,6,4,1,3,1,3,11,18,1,3,119,122,66,47,,,,,,,4,1
111,2017-2018,24,23.02.2018 18:00,Zagłębie Lubin,Arka Gdynia,60%,40%,11,3,3,1,8,2,3,1,3,1,1,3,12,22,2,4,154,87,100,63,,,,,,,0,0
