,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
96,2016-2017,25,13.03.2017 18:00,Cracovia,Zagłębie Lubin,58%,42%,,,5,6,12,8,2,5,1,5,,,12,20,,,3,4,,,,,,,1,1
97,2016-2017,25,12.03.2017 18:00,Legia Warszawa,Wisła Kraków,51%,49%,11,8,5,1,6,7,3,5,6,2,1,4,12,19,,,1,2,,,,,,,1,0
98,2016-2017,25,12.03.2017 15:30,Górnik Łęczna,Pogoń Szczecin,55%,45%,17,13,7,4,10,9,4,3,3,3,2,5,18,14,0,1,2,1,,,,,,,2,2
99,2016-2017,25,11.03.2017 20:30,Jagiellonia Białystok,Korona Kielce,52%,48%,13,9,6,1,7,8,5,4,5,2,0,2,19,20,,,1,3,,,,,,,4,1
100,2016-2017,25,11.03.2017 18:00,Ruch Chorzów,Lechia Gdańsk,41%,59%,11,12,2,4,9,8,3,8,1,4,3,0,8,10,,,2,1,,,,,,,2,1
101,2016-2017,25,11.03.2017 15:30,Wisła Płock,Bruk-Bet T.,48%,52%,10,17,3,9,7,8,2,9,1,1,9,2,11,9,,,1,1,,,,,,,1,0
102,2016-2017,25,10.03.2017 20:30,Arka Gdynia,Lech Poznań,57%,43%,9,12,3,6,6,6,4,7,2,1,2,2,15,17,,,1,1,,,,,,,1,4
103,2016-2017,25,10.03.2017 18:10,Śląsk Wrocław,Piast Gliwice,56%,44%,14,13,5,5,9,8,5,1,2,0,1,2,13,11,1,1,2,2,,,,,,,3,4
104,2016-2017,21,07.03.2017 18:00,Górnik Łęczna,Zagłębie Lubin,56%,44%,15,14,4,5,11,9,11,3,0,2,4,4,15,22,,,1,2,,,,,,,0,1
105,2016-2017,24,06.03.2017 18:00,Pogoń Szczecin,Wisła Płock,62%,38%,24,7,5,3,19,4,11,3,1,0,2,4,22,18,,,3,6,,,,,,,1,1
106,2016-2017,24,05.03.2017 18:00,Lech Poznań,Lechia Gdańsk,43%,57%,20,7,5,2,15,5,6,4,6,1,2,4,21,15,0,3,5,7,,,,,,,1,0
107,2016-2017,24,05.03.2017 15:30,Jagiellonia Białystok,Śląsk Wrocław,50%,50%,18,15,7,3,11,12,9,1,2,1,2,3,14,17,0,1,2,2,,,,,,,4,1
108,2016-2017,24,04.03.2017 20:30,Piast Gliwice,Wisła Kraków,47%,53%,9,13,5,6,4,7,5,9,1,1,4,4,12,13,,,,,,,,,,,1,2
109,2016-2017,24,04.03.2017 18:00,Bruk-Bet T.,Ruch Chorzów,54%,46%,11,15,7,7,4,8,2,5,1,1,7,7,13,9,,,3,3,,,,,,,0,0
110,2016-2017,24,04.03.2017 15:30,Cracovia,Arka Gdynia,58%,42%,17,10,5,4,12,6,4,4,2,2,3,4,15,16,,,1,2,,,,,,,1,1
111,2016-2017,24,03.03.2017 20:30,Zagłębie Lubin,Legia Warszawa,44%,56%,14,14,4,5,10,9,5,7,5,2,2,3,14,11,,,3,2,,,,,,,1,3
112,2016-2017,24,03.03.2017 18:00,Korona Kielce,Górnik Łęczna,59%,41%,21,13,6,2,15,11,8,3,1,2,1,4,17,24,0,1,2,5,,,,,,,2,1
113,2016-2017,23,27.02.2017 18:00,Ruch Chorzów,Śląsk Wrocław,42%,58%,6,11,3,4,3,7,6,7,0,3,4,1,10,15,,,1,1,,,,,,,2,0
114,2016-2017,23,26.02.2017 18:00,Legia Warszawa,Bruk-Bet T.,65%,35%,16,8,2,4,14,4,12,2,1,1,3,1,17,8,,,,,,,,,,,1,1
115,2016-2017,23,26.02.2017 15:30,Górnik Łęczna,Piast Gliwice,53%,47%,16,12,6,3,10,9,8,7,2,0,3,5,15,21,0,1,2,3,,,,,,,1,0
116,2016-2017,23,25.02.2017 20:30,Wisła Kraków,Jagiellonia Białystok,45%,55%,9,8,4,4,5,4,6,5,3,3,3,1,19,12,1,0,3,1,,,,,,,3,1
117,2016-2017,23,25.02.2017 18:00,Lechia Gdańsk,Cracovia,47%,53%,13,22,6,9,7,13,11,7,1,1,7,2,17,23,,,3,3,,,,,,,4,2
118,2016-2017,23,25.02.2017 15:30,Wisła Płock,Zagłębie Lubin,52%,48%,15,12,3,6,12,6,9,2,0,1,5,1,14,15,,,2,0,,,,,,,2,1
