,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Skuteczność podań_home,Skuteczność podań_away,goals_home,goals_away
60,2021-2022,28,09.04.2022 15:00,Piast Gliwice,Górnik Łęczna,44%,56%,12,8,6,2,5,5,1,1,11,14,5,9,0,0,18,27,2,5,16,15,1,1,369,460,285,369,20,17,88,107,69,84,0,1,,,1,0
61,2021-2022,28,08.04.2022 20:30,Pogoń Szczecin,Wisła Płock,55%,45%,18,9,9,5,3,2,6,2,7,11,11,5,1,1,22,16,3,8,10,9,1,2,458,382,367,295,10,10,84,52,100,47,,,,,1,2
62,2021-2022,28,08.04.2022 18:00,Zagłębie Lubin,Stal Mielec,53%,47%,16,16,9,4,6,10,1,2,12,19,4,6,1,3,31,17,3,6,20,11,2,3,387,335,296,237,15,17,98,76,64,52,,,,,3,1
63,2021-2022,27,04.04.2022 18:00,Wisła Płock,Górnik Zabrze,43%,57%,6,22,4,6,2,11,0,5,13,18,3,13,1,2,28,28,4,1,18,9,4,3,364,467,250,360,10,7,89,109,33,81,,,,,3,2
64,2021-2022,27,03.04.2022 17:30,Wisła Kraków,Piast Gliwice,57%,43%,20,13,6,6,11,6,3,1,10,9,5,4,0,2,25,19,4,4,12,9,1,2,518,384,413,272,12,13,101,96,78,61,,,,,2,2
65,2021-2022,27,03.04.2022 15:00,Jagiellonia Białystok,Zagłębie Lubin,65%,35%,17,11,6,1,8,5,3,5,10,15,9,5,1,1,33,19,0,4,14,9,4,4,529,280,412,174,17,20,138,87,112,51,0,1,,,2,1
66,2021-2022,27,03.04.2022 12:30,Bruk-Bet T.,Radomiak Radom,58%,42%,25,9,6,2,14,4,5,3,13,19,5,7,1,1,25,29,1,5,18,17,5,1,415,294,298,164,11,11,109,91,61,54,0,1,,,1,1
67,2021-2022,27,02.04.2022 20:00,Legia Warszawa,Lechia Gdańsk,43%,57%,17,13,8,5,5,6,4,2,8,19,4,10,4,0,28,15,4,6,14,8,3,2,339,442,241,351,25,17,115,91,56,55,,,,,2,1
68,2021-2022,27,02.04.2022 17:30,Górnik Łęczna,Pogoń Szczecin,43%,57%,7,19,3,7,2,7,2,5,13,18,0,5,4,7,27,13,3,3,15,7,2,1,349,489,262,388,10,13,83,76,40,51,,,,,0,4
69,2021-2022,27,02.04.2022 15:00,Warta Poznań,Raków Częstochowa,51%,49%,6,13,1,4,4,5,1,4,12,19,4,7,1,0,24,22,2,1,19,12,2,0,423,405,297,283,14,12,100,97,45,56,,,,,0,2
