,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
277,2015-2016, 3,01.08.2015 18:00,Podbeskidzie B-B,Cracovia,32%,68%,10,19,1,8,8,5,1,6,17,13,3,4,0,1,32,23,7,1,13,16,2,2,1,0,0,1
278,2015-2016, 3,31.07.2015 20:30,Lechia Gdańsk,Pogoń Szczecin,61%,39%,10,13,2,4,5,7,3,2,18,15,2,6,3,2,36,27,3,1,12,13,5,2,,,1,1
279,2015-2016, 3,31.07.2015 18:00,Piast Gliwice,Górnik Zabrze,52%,48%,5,15,4,9,1,4,0,2,17,23,2,6,8,1,26,27,7,1,15,16,2,2,,,3,2
280,2015-2016, 2,27.07.2015 18:00,Górnik Łęczna,Górnik Zabrze,41%,59%,7,9,2,1,3,4,2,4,15,19,3,5,5,3,26,26,0,0,14,11,2,4,1,1,2,1
281,2015-2016, 2,26.07.2015 18:00,Legia Warszawa,Podbeskidzie B-B,58%,42%,10,16,5,5,5,7,0,4,15,17,5,2,6,4,20,26,5,0,10,10,1,2,,,5,0
282,2015-2016, 2,26.07.2015 15:30,Jagiellonia Białystok,Bruk-Bet T.,59%,41%,20,7,10,2,5,3,5,2,11,7,8,5,1,0,32,20,2,8,6,11,3,1,,,2,0
283,2015-2016, 2,26.07.2015 15:30,Pogoń Szczecin,Śląsk Wrocław,54%,46%,16,10,3,5,6,2,7,3,18,15,6,3,1,4,28,26,4,2,14,13,1,1,,,1,1
284,2015-2016, 2,25.07.2015 20:30,Lech Poznań,Lechia Gdańsk,51%,49%,11,9,7,3,3,6,1,0,15,28,2,4,1,3,33,27,2,5,26,11,2,2,,,2,1
285,2015-2016, 2,25.07.2015 18:00,Zagłębie Lubin,Korona Kielce,53%,47%,13,6,2,2,7,2,4,2,28,21,5,1,2,2,21,17,0,2,18,24,2,4,,,0,2
286,2015-2016, 2,24.07.2015 20:30,Cracovia,Wisła Kraków,55%,45%,17,9,3,5,14,4,,,16,12,6,4,1,2,31,15,4,2,12,16,2,4,,,1,1
287,2015-2016, 2,24.07.2015 18:00,Ruch Chorzów,Piast Gliwice,48%,52%,13,10,6,3,7,7,,,26,10,4,6,2,6,7,7,3,4,13,20,1,2,,,2,0
288,2015-2016, 1,20.07.2015 18:00,Piast Gliwice,Bruk-Bet T.,49%,51%,13,8,2,0,6,7,5,1,11,26,7,7,1,1,18,29,0,1,27,9,3,1,,,1,0
289,2015-2016, 1,19.07.2015 18:00,Śląsk Wrocław,Legia Warszawa,49%,51%,14,16,2,9,8,4,4,3,15,14,5,8,2,0,24,23,5,1,13,15,1,2,,,1,4
290,2015-2016, 1,19.07.2015 15:30,Korona Kielce,Jagiellonia Białystok,52%,48%,11,10,4,5,2,4,5,1,15,12,7,2,1,0,37,36,3,1,10,15,4,2,,,3,2
291,2015-2016, 1,18.07.2015 20:30,Lech Poznań,Pogoń Szczecin,67%,33%,18,9,5,4,9,2,4,3,16,12,13,3,0,1,28,23,2,4,11,16,2,1,,,1,2
292,2015-2016, 1,18.07.2015 18:00,Zagłębie Lubin,Podbeskidzie B-B,54%,46%,13,12,4,3,5,7,4,2,23,23,7,2,2,0,30,21,2,3,20,24,4,1,,,1,1
293,2015-2016, 1,18.07.2015 15:30,Ruch Chorzów,Górnik Łęczna,59%,41%,6,13,1,6,3,4,2,3,14,9,4,0,0,4,26,23,4,1,9,11,3,1,,,0,2
294,2015-2016, 1,17.07.2015 20:30,Lechia Gdańsk,Cracovia,59%,41%,17,13,3,7,11,5,3,1,19,14,7,6,2,1,39,23,6,3,12,18,1,4,,,0,1
295,2015-2016, 1,17.07.2015 18:00,Wisła Kraków,Górnik Zabrze,53%,47%,6,8,1,3,4,5,1,0,15,9,3,5,1,1,25,30,2,0,8,15,0,1,,,1,1
